report_month,program,closure_category,closures,percent_of_program_closures,source_file
2023-09-01,CLASS,Deceased,1,0.0625,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,Declined,3,0.1875,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,Denied,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,Enrolled,8,0.5,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,No Response,3,0.1875,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,Not Categorized,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,Other,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,Totals,16,1.0,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,Unable to Locate,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,Withdrawn,1,0.0625,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Deceased,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Declined,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Denied,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Enrolled,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,No Response,1,1.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Not Categorized,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Other,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Totals,1,1.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Unable to Locate,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,Withdrawn,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Deceased,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Declined,3,0.06382978723404255,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Denied,2,0.0425531914893617,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Enrolled,41,0.8723404255319149,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,No Response,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Not Categorized,1,0.02127659574468085,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Other,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Totals,47,1.0,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Unable to Locate,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,Withdrawn,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,Deceased,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,Declined,0,0.0,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,Denied,4,0.5714286,interest-list-data-sept-2023.xlsx
