report_month,program,individuals,source_file
2023-09-01,CLASS,81948,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,1732,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,117371,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,6976,interest-list-data-sept-2023.xlsx
2023-09-01,STAR_PLUS_HCBS,7813,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,106290,interest-list-data-sept-2023.xlsx
2023-10-01,CLASS,82124,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,1748,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,117604,interest-list-data-oct-2023.xlsx
2023-10-01,MDCP,6550,interest-list-data-oct-2023.xlsx
2023-10-01,STAR_PLUS_HCBS,6203,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,106605,interest-list-data-oct-2023.xlsx
2023-11-01,CLASS,82275,interest-list-data-nov-2023.xlsx
2023-11-01,DBMD,1764,interest-list-data-nov-2023.xlsx
2023-11-01,HCS,117778,interest-list-data-nov-2023.xlsx
2023-11-01,MDCP,6134,interest-list-data-nov-2023.xlsx
2023-11-01,STAR_PLUS_HCBS,4971,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,106811,interest-list-data-nov-2023.xlsx
2023-12-01,CLASS,82377,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,1785,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,117973,interest-list-data-dec-2023.xlsx
2023-12-01,MDCP,5706,interest-list-data-dec-2023.xlsx
2023-12-01,STAR_PLUS_HCBS,3933,interest-list-data-dec-2023.xlsx
2023-12-01,TXHML,106994,interest-list-data-dec-2023.xlsx
2024-01-01,CLASS,82457,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,1820,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,117957,interest-list-data-jan-2024.xlsx
2024-01-01,MDCP,5320,interest-list-data-jan-2024.xlsx
2024-01-01,STAR_PLUS_HCBS,2902,interest-list-data-jan-2024.xlsx
