report_month,program,years_on_list_bucket,individuals,percent_of_program_total,source_file
2023-09-01,CLASS,0–1,2864,0.034949,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,10–11,4850,0.0591839,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,11–12,5207,0.0635403,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,12–13,6365,0.0776712,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,13–14,6467,0.0789159,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,14–15,5722,0.0698248,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,15–16,3800,0.0463709,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,16–17,7,8.54e-05,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,1–2,4495,0.0548519,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,2–3,4568,0.0557427,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,3–4,4550,0.055523,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,4–5,6034,0.0736321,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,5–6,5967,0.0728145,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,6–7,6089,0.0743032,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,7–8,5606,0.0684092,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,8–9,4749,0.0579514,interest-list-data-sept-2023.xlsx
2023-09-01,CLASS,9–10,4608,0.0562308,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,0–1,361,0.2084296,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,11–12,1,0.0005774,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,1–2,300,0.1732102,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,2–3,243,0.1403002,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,3–4,284,0.1639723,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,4–5,205,0.1183603,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,5–6,151,0.0871824,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,6–7,132,0.0762125,interest-list-data-sept-2023.xlsx
2023-09-01,DBMD,7–8,55,0.0317552,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,0–1,6856,0.0584131,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,10–11,7071,0.0602449,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,11–12,7721,0.0657829,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,12–13,7681,0.0654421,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,13–14,7969,0.0678958,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,14–15,6786,0.0578167,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,15–16,5372,0.0457694,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,16–17,1263,0.0107608,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,1–2,5710,0.0486492,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,2–3,6265,0.0533778,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,3–4,6919,0.0589498,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,4–5,8395,0.0715253,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,5–6,8455,0.0720365,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,6–7,8414,0.0716872,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,7–8,8426,0.0717895,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,8–9,7423,0.0632439,interest-list-data-sept-2023.xlsx
2023-09-01,HCS,9–10,6645,0.0566153,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,0–1,2276,0.3262615,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,1–2,2744,0.3933486,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,2–3,1887,0.2704989,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,3–4,67,0.0096044,interest-list-data-sept-2023.xlsx
2023-09-01,MDCP,5–6,2,0.0002867,interest-list-data-sept-2023.xlsx
2023-09-01,STAR_PLUS_HCBS,0–1,7607,0.9736337,interest-list-data-sept-2023.xlsx
2023-09-01,STAR_PLUS_HCBS,1–2,175,0.0223986,interest-list-data-sept-2023.xlsx
2023-09-01,STAR_PLUS_HCBS,2–3,12,0.0015359,interest-list-data-sept-2023.xlsx
2023-09-01,STAR_PLUS_HCBS,4–5,11,0.0014079,interest-list-data-sept-2023.xlsx
2023-09-01,STAR_PLUS_HCBS,7–8,8,0.0010239,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,0–1,6863,0.0645686,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,10–11,7233,0.0680497,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,11–12,7716,0.0725938,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,12–13,7599,0.0714931,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,13–14,7675,0.0722081,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,14–15,1904,0.0179133,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,15–16,1,9.4e-06,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,1–2,5724,0.0538527,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,2–3,6264,0.0589331,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,3–4,7005,0.0659046,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,4–5,8562,0.0805532,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,5–6,8639,0.0812776,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,6–7,8615,0.0810518,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,7–8,8589,0.0808072,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,8–9,7098,0.0667796,interest-list-data-sept-2023.xlsx
2023-09-01,TXHML,9–10,6803,0.0640041,interest-list-data-sept-2023.xlsx
2023-10-01,CLASS,0–1,2770,0.0337295,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,10–11,4816,0.058643,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,11–12,5253,0.0639642,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,12–13,6185,0.0753129,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,13–14,6533,0.0795504,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,14–15,5709,0.0695168,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,15–16,4354,0.0530174,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,16–17,7,8.52e-05,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,1–2,4314,0.0525303,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,2–3,4697,0.057194,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,3–4,4298,0.0523355,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,4–5,6092,0.0741805,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,5–6,5945,0.0723905,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,6–7,6195,0.0754347,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,7–8,5525,0.0672763,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,8–9,4851,0.0590692,interest-list-data-oct-2023.xlsx
2023-10-01,CLASS,9–10,4580,0.0557693,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,0–1,363,0.2076659,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,11–12,1,0.0005721,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,1–2,297,0.1699085,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,2–3,240,0.1372998,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,3–4,288,0.1647597,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,4–5,211,0.1207094,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,5–6,152,0.0869565,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,6–7,123,0.0703661,interest-list-data-oct-2023.xlsx
2023-10-01,DBMD,7–8,73,0.041762,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,0–1,6515,0.0553978,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,10–11,6902,0.0586885,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,11–12,7751,0.0659076,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,12–13,7746,0.0658651,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,13–14,7932,0.0674467,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,14–15,6853,0.0582718,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,15–16,5500,0.0467671,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,16–17,1729,0.0147019,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,1–2,5810,0.0494031,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,2–3,6157,0.0523537,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,3–4,6759,0.0574725,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,4–5,8394,0.0713751,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,5–6,8438,0.0717493,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,6–7,8509,0.072353,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,7–8,8431,0.0716897,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,8–9,7463,0.0634587,interest-list-data-oct-2023.xlsx
2023-10-01,HCS,9–10,6715,0.0570984,interest-list-data-oct-2023.xlsx
2023-10-01,MDCP,0–1,2150,0.3282443,interest-list-data-oct-2023.xlsx
2023-10-01,MDCP,1–2,2760,0.421374,interest-list-data-oct-2023.xlsx
2023-10-01,MDCP,2–3,1638,0.2500763,interest-list-data-oct-2023.xlsx
2023-10-01,MDCP,5–6,2,0.0003053,interest-list-data-oct-2023.xlsx
2023-10-01,STAR_PLUS_HCBS,0–1,6176,0.9956473,interest-list-data-oct-2023.xlsx
2023-10-01,STAR_PLUS_HCBS,1–2,8,0.0012897,interest-list-data-oct-2023.xlsx
2023-10-01,STAR_PLUS_HCBS,4–5,11,0.0017733,interest-list-data-oct-2023.xlsx
2023-10-01,STAR_PLUS_HCBS,7–8,8,0.0012897,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,0–1,6551,0.0614512,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,10–11,7071,0.066329,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,11–12,7768,0.0728671,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,12–13,7655,0.0718071,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,13–14,7687,0.0721073,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,14–15,2539,0.0238169,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,15–16,1,9.4e-06,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,1–2,5819,0.0545847,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,2–3,6161,0.0577928,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,3–4,6849,0.0642465,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,4–5,8545,0.0801557,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,5–6,8623,0.0808874,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,6–7,8718,0.0817785,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,7–8,8615,0.0808123,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,8–9,7146,0.0670325,interest-list-data-oct-2023.xlsx
2023-10-01,TXHML,9–10,6857,0.0643216,interest-list-data-oct-2023.xlsx
2023-11-01,CLASS,0–1,2667,0.0324157,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,10–11,4775,0.0580371,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,11–12,5182,0.0629839,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,12–13,6080,0.0738985,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,13–14,6628,0.0805591,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,14–15,5763,0.0700456,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,15–16,4741,0.0576238,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,16–17,7,8.51e-05,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,1–2,4191,0.0509389,interest-list-data-nov-2023.xlsx
2023-11-01,CLASS,2–3,4776,0.0580492,interest-list-data-nov-2023.xlsx
