program,setting,facility_size,level_of_need,service_type,old_rate,old_attendant_cost,old_admin_cost,new_rate,new_attendant_cost,new_admin_cost,rate_increase_dollar,rate_increase_pct,new_attendant_cost_pct,old_rate_effective_date,new_rate_effective_date
HCS,SL_RSS,,1,RSS,149.08,78.04,62.96,163.66,91.14,64.44,14.579999999999984,0.1,0.5569,2023-09-01,2025-09-01
HCS,SL_RSS,,1,SL,149.08,78.04,62.96,163.66,91.14,64.44,14.579999999999984,0.1,0.5569,2023-09-01,2025-09-01
HCS,SL_RSS,,5,RSS,158.0,85.74,63.23,175.72,101.81,64.88,17.72,0.11,0.5794,2023-09-01,2025-09-01
HCS,SL_RSS,,5,SL,158.0,85.74,63.23,175.72,101.81,64.88,17.72,0.11,0.5794,2023-09-01,2025-09-01
HCS,SL_RSS,,6,RSS,192.8,115.88,64.22,222.55,143.31,66.54,29.75,0.15,0.6439,2023-09-01,2025-09-01
HCS,SL_RSS,,6,SL,192.8,115.88,64.22,222.55,143.31,66.54,29.75,0.15,0.6439,2023-09-01,2025-09-01
HCS,SL_RSS,,8,RSS,171.04,97.03,63.61,193.28,117.37,65.51,22.24000000000001,0.13,0.6073,2023-09-01,2025-09-01
HCS,SL_RSS,,8,SL,171.04,97.03,63.61,193.28,117.37,65.51,22.24000000000001,0.13,0.6073,2023-09-01,2025-09-01
HCS,SL_RSS,,9,RSS,280.24,191.63,66.71,339.66,247.05,70.71,59.420000000000016,0.21,0.7273,2023-09-01,2025-09-01
HCS,SL_RSS,,9,SL,280.24,191.63,66.71,339.66,247.05,70.71,59.420000000000016,0.21,0.7273,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,1,ICF_PER_DIEM,124.24,41.91000000000001,82.32999999999998,159.16,75.76,83.39999999999999,34.92,0.28,0.476,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,5,ICF_PER_DIEM,132.96,47.750000000000014,85.21,174.27,87.78999999999999,86.48000000000002,41.31,0.31,0.5038,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,6,ICF_PER_DIEM,200.28,85.23,115.05,266.28,148.99,117.28999999999996,66.0,0.33,0.5595,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,8,ICF_PER_DIEM,148.36,56.59999999999997,91.76000000000005,201.35,108.0,93.35,52.99,0.36,0.5364,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,9,ICF_PER_DIEM,392.08,212.36000000000004,179.71999999999994,507.21,322.32,184.89,115.13,0.29,0.6355,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,1,ICF_PER_DIEM,127.08,48.73000000000002,78.34999999999998,155.18,75.76,79.42,28.1,0.22,0.4882,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,5,ICF_PER_DIEM,143.96,57.689999999999976,86.27000000000004,175.33,87.78999999999999,87.54000000000002,31.37,0.22,0.5007,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,6,ICF_PER_DIEM,204.12,90.43,113.69,264.92,148.99,115.93,60.8,0.3,0.5624,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,8,ICF_PER_DIEM,170.24,72.62,97.62,207.21,108.0,99.21000000000001,36.97,0.22,0.5212,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,9,ICF_PER_DIEM,390.64,224.61,166.02999999999997,493.52,322.32,171.2,102.88,0.26,0.6531,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,1,ICF_PER_DIEM,155.04,60.39439999999728,94.6456000000027,173.61,77.89,95.72000000000001,18.57,0.12,0.4486,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,5,ICF_PER_DIEM,172.68,69.85839999999132,102.82160000000869,191.88,87.78999999999999,104.09,19.2,0.11,0.4575,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,6,ICF_PER_DIEM,241.76,116.63640000004706,125.12359999995293,276.35,148.99,127.36000000000001,34.59,0.14,0.5391,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,8,ICF_PER_DIEM,196.72,85.59079999998758,111.12920000001242,220.72,108.0,112.72,24.0,0.12,0.4893,2023-09-01,2025-09-01
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,9,ICF_PER_DIEM,410.92,226.58,184.34,511.83,322.32,189.51,100.91,0.25,0.6297,2023-09-01,2025-09-01
