program,setting,facility_size,level_of_need,bill_description,current_rate,attendant_cost,attendant_cost_pct,non_attendant_reimbursement_component,wage_required,rate_effective_date
HCS,SL_RSS,,1,RESIDENTIAL SUPPORT SERVICES LON 1,149.08,78.03999999999996,0.523477327609337,71.04000000000005,70.48,2023-09-01 00:00:00
HCS,SL_RSS,,1,SUPERVISED LIVING LON 1,149.08,78.03999999999999,0.5234773276093372,71.04000000000002,70.48,2023-09-01 00:00:00
HCS,SL_RSS,,5,RESIDENTIAL SUPPORT SERVICES LON 5,158.0,85.74000000000001,0.5426582278481014,72.25999999999999,77.43,2023-09-01 00:00:00
HCS,SL_RSS,,5,SUPERVISED LIVING LON 5,158.0,85.74000000000001,0.5426582278481014,72.25999999999999,77.43,2023-09-01 00:00:00
HCS,SL_RSS,,6,RESIDENTIAL SUPPORT SERVICES LON 6,192.8,115.87999999999998,0.6010373443983401,76.92000000000003,104.64,2023-09-01 00:00:00
HCS,SL_RSS,,6,SUPERVISED LIVING LON 6,192.8,115.87999999999998,0.6010373443983401,76.92000000000003,104.64,2023-09-01 00:00:00
HCS,SL_RSS,,8,RESIDENTIAL SUPPORT SERVICES LON 8,171.04,97.03,0.5672942001870906,74.00999999999999,87.62,2023-09-01 00:00:00
HCS,SL_RSS,,8,SUPERVISED LIVING LON 8,171.04,97.03,0.5672942001870906,74.00999999999999,87.62,2023-09-01 00:00:00
HCS,SL_RSS,,9,RESIDENTIAL SUPPORT SERVICES LON 9,280.24,191.63,0.6838067370825007,88.61000000000001,173.04,2023-09-01 00:00:00
HCS,SL_RSS,,9,SUPERVISED LIVING LON 9,280.24,191.63,0.6838067370825007,88.61000000000001,173.04,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,1,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 1 - Large,124.24,41.91000000000001,0.337330972311655,82.32999999999998,37.85,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,5,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 5 - Large,132.96,47.750000000000014,0.3591305655836342,85.21,43.13,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,6,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 6 - Large,200.28,85.23,0.4255542240862792,115.05,76.97,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,8,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 8 - Large,148.36,56.59999999999997,0.3815044486384468,91.76000000000005,51.12,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,LARGE,9,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 9 - Large,392.08,212.36000000000004,0.5416241583350337,179.71999999999994,191.76,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,1,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 1 - Medium,127.08,48.73000000000002,0.3834592382751024,78.34999999999998,44.01,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,5,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 5 - Medium,143.96,57.689999999999976,0.400736315643234,86.27000000000004,52.1,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,6,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 6 - Medium,204.12,90.43,0.4430237115422301,113.69,81.66000000000001,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,8,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 8 - Medium,170.24,72.62,0.4265742481203007,97.62,65.58,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,MEDIUM,9,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 9 - Medium,390.64,224.61,0.5749795207864019,166.02999999999997,202.82,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,1,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 1 - Small,155.04,60.39439999999728,0.3895407636738731,94.6456000000027,54.54,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,5,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 5 - Small,172.68,69.85839999999132,0.4045540884873252,102.82160000000869,63.09,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,6,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 6 - Small,241.76,116.63640000004706,0.4824470549307043,125.12359999995293,105.33,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,8,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 8 - Small,196.72,85.59079999998758,0.435089467263052,111.12920000001242,77.29,2023-09-01 00:00:00
ICF_IID,NON_STATE_COMMUNITY_RESIDENTIAL,SMALL,9,ICF/IID NON-STATE COMMUNITY RESIDENTIAL LON 9 - Small,410.92,226.58,0.5513968655699406,184.34,204.6,2023-09-01 00:00:00
