bill_code,program,service_category,service_description,bill_description,is_cds,is_facility_based,funding_authority,unit_measure,units,payment,current_rate,attendant_cost,attendant_cost_pct,attendant_hours_per_unit,wage_required,rate_after_increase,rate_effective_date,sfy26_est_hours,sfy27_est_hours
717DG0742,CAS,CAS/FC/PHC PAS,CAS/FC/PAS/PHC PRIORITY,PAS COMMUNITY ATTENDANT SERVICES (1929B) LVL 2 (PRIORITY) (AO),False,False,State Plan (Title XIX),1 hour,670573.75,8827649.8,14.0,11.75,0.8392857142857143,1.0,10.62,14.0,2023-09-01 00:00:00,701353.09,708528.22
717DG0743,CAS,CAS/FC/PHC PAS,CAS/FC/PAS/PHC NON-PRIORITY,PAS COMMUNITY ATTENDANT SERVICES (1929B) LVL 1 (NON-PRIORITY) (AO),False,False,State Plan (Title XIX),1 hour,73113778.58,949134587.19,13.84,11.77,0.8504335260115606,1.0,10.64,13.84,2023-09-01 00:00:00,76469701.02,77252018.45
717DVG0748,CAS,CAS/FC/PHC PAS,CDS CAS/FC/PAS/PHC PRIORITY,COMMUNITY ATTENDANT SERVICES (1929B) LEVEL 2 (PRIORITY) (CDS),True,False,State Plan (Title XIX),1 hour,149974.35,149974.35,13.2,11.75,0.8901515151515152,1.0,10.62,13.2,2023-09-01 00:00:00,11883.19,12004.77
717DVG0749,CAS,CAS/FC/PHC PAS,CDS CAS/FC/PAS/PHC NON-PRIORITY,COMMUNITY ATTENDANT SERVICES (1929B) LEVEL 1 (NON-PRIORITY) (CDS),True,False,State Plan (Title XIX),1 hour,6420811.23,6420811.23,13.04,11.769999999999998,0.90260736196319,1.0,10.64,13.04,2023-09-01 00:00:00,514994.36,520262.97
717DVG0750,CAS,CAS/FC/PHC PAS,CDS CAS/FC/PAS/PHC NON-PRIORITY,PAS COMMUNITY ATTENDANT SERVICES (CDS),True,False,State Plan (Title XIX),1 hour,83175.02,83175.02,13.04,11.77,0.9026073619631902,1.0,10.64,13.04,2023-09-01 00:00:00,6671.22,6739.47
210BS0107,CLASS,PAS/HAB,Habilitation,HABILITATION PREVOCATIONAL,False,False,1915(c) waiver,1 hour (ceiling),4952394.62,4974282.05,14.96,11.75,0.785427807486631,1.0,10.62,14.96,2023-09-01 00:00:00,340186.36,340186.36
210CFCG1108,CLASS,PAS/HAB,PAS/HAB (CFC),CFC PAS/HAB,False,False,State Plan (Title XIX),1 hour,8801962.1,136465738.46,14.96,11.75,0.785427807486631,1.0,10.62,14.96,2023-09-01 00:00:00,9005287.42,9005287.42
210CFVG1109,CLASS,PAS/HAB,CDS PAS/HAB (CFC),CFC PAS/HAB (CDS),True,False,State Plan (Title XIX),1 hour,87110156.93,87110156.93,14.16,11.75,0.8298022598870056,1.0,10.62,14.16,2023-09-01 00:00:00,6293954.91,6293954.91
211G0100,CLASS,In Home Respite,In Home Respite,RESPITE-IN HOME RESPITE-DSA,False,False,1915(c) waiver,1 day,22044.16,5323900.53,311.12,281.78,0.9056955515556697,24.0,254.44,311.12,2023-09-01 00:00:00,541281.12,541281.12
211PVG0197,CLASS,In Home Respite,CDS In Home Respite,RESPITE IN-HOME (CDS),True,False,1915(c) waiver,1 day,5354163.86,5354163.86,287.12,281.78,0.9814015045973807,24.0,254.44,287.12,2023-09-01 00:00:00,457886.18,457886.18
237H2025,CLASS,Employment Services,Employment Assistance and Supported Employment,CLASS SUPPORTED EMPLOYMENT (AO),False,False,1915(c) waiver,1 hour,696.0,19362.72,26.07,19.07,0.7314921365554277,1.0,17.23,26.07,2013-09-01 00:00:00,712.08,712.08
237VH2027,CLASS,Employment Services,CDS Employment Assistance and Supported Employment,CLASS (CDS) -SUPPORTED EMPLOYMENT,True,False,1915(c) waiver,1 hour,260896.24,260896.24,25.27,18.484806290755657,0.7314921365554277,1.0,16.700000000000003,25.27,2013-09-01 00:00:00,10562.84,10562.84
248G0248,CLASS,PAS/HAB,Habilitation,HAB TRANSPORTATION,False,False,1915(c) waiver,1 hour,3931.65,60328.66,14.96,11.75,0.785427807486631,1.0,10.62,14.96,2023-09-01 00:00:00,4022.47,4022.47
248VG0249,CLASS,PAS/HAB,CDS Habilitation,HAB TRANSPORTATION (CDS),True,False,1915(c) waiver,1 hour,171886.79,171886.79,14.16,11.75,0.8298022598870056,1.0,10.62,14.16,2023-09-01 00:00:00,12419.31,12419.31
729AC0202,DAHS,DAHS,Day Activity and Health Services (DAHS) Title XIX and Title XX,DAY ACTIVITY/HEALTH SERVICES (DAHS) TITLE XX,False,True,Title XX,3-5 hours = 1 unit; 6+ hours = 2 units,776159.03,12282455.08,16.72,5.87,0.3510765550239235,0.5,5.31,16.72,2023-09-01 00:00:00,388079.52,388079.52
729C0200,DAHS,DAHS,Day Activity and Health Services (DAHS) Title XIX and Title XX,DAY ACTIVITY AND HEALTH SERVICES (DAHS) TITLE XIX,False,True,State Plan (Title XIX),3-5 hours = 1 unit; 6+ hours = 2 units,409682.57,6478119.47,16.72,5.87,0.3510765550239235,0.5,5.31,16.72,2023-09-01 00:00:00,259370.04,259370.04
1610CFCG1108,DBMD,PAS/HAB,PAS/HAB (CFC) and Transportation,CFC PAS/HAB,False,False,State Plan (Title XIX),1 hour,234124.25,3880163.84,16.48,13.27,0.8052184466019418,1.0,11.99,16.48,2023-09-01 00:00:00,232415.14,232415.14
1610CFVG1109,DBMD,PAS/HAB,CDS PAS/HAB (CFC) and Transportation,CFC PAS/HAB (CDS),True,False,State Plan (Title XIX),1 hour,2532627.43,2532627.43,16.48,13.27,0.8052184466019418,1.0,11.99,16.48,2023-09-01 00:00:00,152556.99,152556.99
1611G0100,DBMD,In Home Respite,In Home Respite,Respite In Home,False,False,1915(c) waiver,1 day,508.67,132840.79,313.76,281.77,0.8980430902600713,24.0,254.42999999999998,313.76,2023-09-01 00:00:00,12118.96,12118.96
1611PVG0197,DBMD,In Home Respite,CDS In Home Respite,RESPITE IN-HOME (CDS),True,False,1915(c) waiver,1 day,224265.8,224265.8,289.76,281.77,0.9724254555494202,24.0,254.42999999999998,289.76,2023-09-01 00:00:00,18439.7,18439.7
1617EG0744,DBMD,Chore Services,Chore Services,PAS CHORE,False,False,1915(c) waiver,1 hour,1013.0,15196.62,14.08,11.74,0.8338068181818182,1.0,10.61,14.08,2023-09-01 00:00:00,1005.61,1005.61
1619EG0937,DBMD,DBMD Assisted Living,Assisted Living,ASSISTED LIVING HABILITATION 24 HR,False,False,1915(c) waiver,1 day,926.0,133019.9,145.6,83.82999999999998,0.5757554945054945,0.25,75.7,145.6,2023-09-01 00:00:00,229.81,229.81
1619FG0938,DBMD,DBMD Assisted Living,Assisted Living,18 HOUR ASSISTED LIVING,False,False,1915(c) waiver,1 day,5612.0,695270.68,125.84,72.57,0.5766846789574062,0.25,65.54,125.84,2023-09-01 00:00:00,1392.76,1392.76
1619G0900,DBMD,DBMD Assisted Living,Assisted Living,ASSISTED LIVING APT (LEVEL 6) ,False,False,1915(c) waiver,1 day,7509.0,1078667.85,145.6,83.82999999999998,0.5757554945054945,0.25,75.7,145.6,2023-09-01 00:00:00,1863.55,1863.55
1623S0312,DBMD,ISS,Individualized Skills and Socialization - On-Site and Off-Site,Individualized Skills and Socialization (ISS) On-Site,False,False,1915(c) waiver,1 hour,20352.5,507184.3,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,40407.85,40407.85
1623S0313,DBMD,ISS,Individualized Skills and Socialization - On-Site and Off-Site,Individualized Skills and Socialization (ISS) Off-Site,False,False,1915(c) waiver,1 hour,1035.25,25798.43,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,2055.39,2055.39
1648G0252,DBMD,HAB Transportation,PAS/HAB (CFC) and Transportation,HAB TRANSPORTATION,False,False,1915(c) waiver,1 hour,4.5,74.03,16.48,13.27,0.8052184466019418,1.0,11.99,16.48,2023-09-01 00:00:00,4.47,4.47
1648VG0253,DBMD,HAB Transportation,CDS PAS/HAB (CFC) and Transportation,HAB TRANSPORTATION (CDS),True,False,1915(c) waiver,1 hour,673.0,673.0,16.48,13.27,0.8052184466019418,1.0,11.99,16.48,2023-09-01 00:00:00,40.54,40.54
717CG0740,FC,CAS/FC/PHC PAS,CAS/FC/PAS/PHC PRIORITY,PAS FAMILY CARE LVL 2 (PRIORITY) (AO),False,False,Title XX,1 hour,41066.25,543104.29,14.0,11.75,0.8392857142857143,1.0,10.62,14.0,2023-09-01 00:00:00,41066.25,41066.25
717CG0741,FC,CAS/FC/PHC PAS,CAS/FC/PAS/PHC NON-PRIORITY,PAS FAMILY CARE LVL 1 (NON-PRIORITY) (AO),False,False,Title XX,1 hour,3035010.42,39362251.76,13.84,11.77,0.8504335260115606,1.0,10.64,13.84,2023-09-01 00:00:00,3035010.42,3035010.42
717CVG0745,FC,CAS/FC/PHC PAS,CDS CAS/FC/PAS/PHC PRIORITY,PARTICIPANT PAS FAMILY CARE (CDS) LVL 2 (PRIORITY) ,True,False,Title XX,1 hour,6431.27,6431.27,13.2,11.75,0.8901515151515152,1.0,10.62,13.2,2023-09-01 00:00:00,487.22,487.22
717CVG0746,FC,CAS/FC/PHC PAS,CDS CAS/FC/PAS/PHC NON-PRIORITY,PARTICIPANT PAS FAMILY CARE (CDS) LVL 1 (NON-PRIORITY) ,True,False,Title XX,1 hour,231980.7,231980.7,13.04,11.769999999999998,0.90260736196319,1.0,10.64,13.04,2023-09-01 00:00:00,17789.93,17789.93
